name,team,position,value,total_points,points_per_game,elapsed
Alisson Ramses Becker,Liverpool,GK,5.7,95,4.0,0.3096499443054199
Trent Alexander-Arnold,Liverpool,DEF,8.4,114,4.8,0.3096499443054199
Oleksandr Zinchenko,Arsenal,DEF,5.0,103,4.0,0.3096499443054199
Pedro Porro,Spurs,DEF,5.8,110,3.8,0.3096499443054199
John Stones,Man City,DEF,5.3,52,3.5,0.3096499443054199
Bukayo Saka,Arsenal,MID,9.0,202,6.3,0.3096499443054199
Kevin De Bruyne,Man City,MID,10.4,71,5.5,0.3096499443054199
Bryan Mbeumo,Brentford,MID,6.8,109,5.2,0.3096499443054199
Anthony Gordon,Newcastle,MID,6.2,159,5.1,0.3096499443054199
Ollie Watkins,Aston Villa,FWD,9.0,217,6.6,0.3096499443054199
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.6,121,4.3,0.3096499443054199
