name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,141,4.0,0.3415968418121338
Benjamin White,Arsenal,DEF,6.1,168,4.9,0.3415968418121338
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.6,0.3415968418121338
William Saliba,Arsenal,DEF,5.9,147,4.2,0.3415968418121338
Pedro Porro,Spurs,DEF,5.8,112,3.6,0.3415968418121338
Michael Olise,Crystal Palace,MID,5.6,91,5.7,0.3415968418121338
Jarrod Bowen,West Ham,MID,7.6,178,5.6,0.3415968418121338
Martin Ødegaard,Arsenal,MID,8.6,170,5.3,0.3415968418121338
Anthony Gordon,Newcastle,MID,6.3,169,5.3,0.3415968418121338
Erling Haaland,Man City,FWD,14.1,179,6.6,0.3415968418121338
Jean-Philippe Mateta,Crystal Palace,FWD,5.1,130,4.1,0.3415968418121338
