name,team,position,value,total_points,points_per_game,elapsed
Jordan Pickford,Everton,GK,4.8,144,4.0,3.6404478549957275
Trent Alexander-Arnold,Liverpool,DEF,8.4,115,4.4,3.6404478549957275
William Saliba,Arsenal,DEF,5.9,153,4.2,3.6404478549957275
Nathan Aké,Man City,DEF,5.0,97,3.6,3.6404478549957275
Pedro Porro,Spurs,DEF,5.8,112,3.5,3.6404478549957275
Phil Foden,Man City,MID,8.4,204,6.4,3.6404478549957275
Michael Olise,Crystal Palace,MID,5.6,107,6.3,3.6404478549957275
Jarrod Bowen,West Ham,MID,7.6,180,5.5,3.6404478549957275
Bryan Mbeumo,Brentford,MID,6.8,113,4.9,3.6404478549957275
Ollie Watkins,Aston Villa,FWD,8.9,221,6.3,3.6404478549957275
Matheus Santos Carneiro Da Cunha,Wolves,FWD,5.5,128,4.3,3.6404478549957275
